"","Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"193","Mohamad Al-Garni","Qatar",20,1.7,55,"M",1992-02-07,"MOROCCO (MAR)",0,0,0,0,"Athletics","Men's 1500m"
"194","Shinoona Salah Al-Habsi","Oman",19,1.62,60,"F",1993-03-07,"AL KHOUDH (OMA)",0,0,0,0,"Athletics","Women's 100m"
"195","Barakat Mubarak Al-Harthi","Oman",24,1.71,67,"M",NA,"Ibra (OMA)",0,0,0,0,"Athletics","Men's 100m"
"196","Safaa Al-Jumaili","Iraq",22,1.75,83,"M",1990-01-01,"DIYALA",0,0,0,0,"Weightlifting","Men's 85kg"
"197","Hamdan Al-Kamali","United Arab Emirates",23,1.83,74,"M",1989-02-05,"",0,0,0,0,"Football","Men's Football"
"198","Tameem Mohammed Ahmed Al-Kubati","Yemen",23,1.68,NA,"M",1989-01-01,"SANA'A (YEM)",0,0,0,0,"Taekwondo","Men's -58kg"
"199","Noor Hussain Al-Malki","Qatar",17,1.55,43,"F",NA,"Doha (QAT)",0,0,0,0,"Athletics","Women's 100m"
"200","Rand Al-Mashhadani","Iraq",17,1.6,50,"F",1994-11-08,"BAGHDAD",0,0,0,0,"Archery","Women's Individual"
"201","Ahmed Mohamed Al-Merjabi","Oman",21,1.7,65,"M",1990-09-09,"Ibra (OMA)",0,0,0,0,"Athletics","Men's 400m"
"202","Ahmad Kh A Al-Molad","Saudi Arabia",24,NA,NA,"M",NA,"Jeddah (KSA)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"203","Moukheld Al-Outaibi","Saudi Arabia",36,NA,NA,"M",NA,"Tazzzf (KSA)",0,0,0,0,"Athletics","Men's 5000m, Men's 10,000m"
"204","Fawaz Al-Shammari","Kuwait",35,NA,NA,"M",1977-03-04,"KUWAIT (KUW)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"205","Majed Al-Tamimi","Saudi Arabia",40,NA,NA,"M",NA,"SAUDI ARABIA (KSA)",0,0,0,0,"Shooting","Men's Skeet"
"206","Ali Mohamed Al-Zinkawi","Kuwait",28,1.95,110,"M",NA,"KUWAIT (HUN)",0,0,0,0,"Athletics","Men's Hammer Throw"
"207","Mahmoud Alaa Eldin","Egypt",21,1.89,84,"M",1991-01-01,"",0,0,0,0,"Football","Men's Football"
"208","Marina Alabau Neira","Spain",26,1.64,55,"F",NA,"Sevilla (ESP)",0,0,0,0,"Sailing","Women's RS-X"
"209","Danielle Alakija","Fiji",16,1.82,71,"F",1996-03-05,"Hillingdon (GBR)",0,0,0,0,"Athletics","Women's 400m"
"210","Ali Salem Ahmed Faraj Alameri","United Arab Emirates",23,1.75,73,"M",1989-07-01,"",0,0,0,0,"Football","Men's Football"
"211","Yenew Alamirew","Ethiopia",22,1.78,57,"M",NA,"TILILI (ETH)",0,0,0,0,"Athletics","Men's 5000m"
"212","Noshad Alamiyan","Islamic Republic of Iran",20,1.7,65,"M",NA,"BABOL",0,0,0,0,"Table Tennis","Men's Singles"
"213","Mariem Alaoui Selsouli","Morocco",28,1.58,42,"F",1984-08-07,"MARRAKECH MEDINA (MAR)",0,0,0,0,"Athletics","Women's 1500m, Women's 5000m"
"214","Francisco Roman Alarcon Suarez","Spain",20,1.76,75,"M",NA,"",0,0,0,0,"Football","Men's Football"
"215","Dhaher Alaryani","United Arab Emirates",39,NA,NA,"M",1972-11-12,"RAS ALKHAIMAH (UAE)",0,0,0,0,"Shooting","Men's Trap"
"216","Yousef Alaskari","Kuwait",18,1.75,65,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Swimming","Men's 200m Butterfly"
"217","Janice Alatoa","Vanuatu",23,1.66,55,"F",NA,"PORT VILA (VAN)",0,0,0,0,"Athletics","Women's 100m"
"218","Jordi Alba","Spain",23,1.7,66,"M",NA,"",0,0,0,0,"Football","Men's Football"
"219","Azad Albarazi","Syrian Arab Republic",24,2.05,110,"M",1988-04-01,"SAUDI ARABIA (KSA)",0,0,0,0,"Swimming","Men's 100m Breaststroke"
"220","Michael Albasini","Switzerland",31,1.72,67,"M",NA,"Wil (SUI)",0,0,0,0,"Cycling - Road","Men's Individual Time Trial, Men's Road Race"
"221","Ruslan Albegov","Russian Federation",24,1.92,156,"M",NA,"VLADIKAVKAZ",0,0,0,0,"Weightlifting","Men's +105kg"
"222","Isil Alben","Turkey",26,1.72,62,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"223","Samantha Albert","Jamaica",41,1.65,64,"F",NA,"Montreal (CAN)",0,0,0,0,"Equestrian","Individual Eventing, CARRAIG DUBH"
"224","Nely Alberto Francisca","Spain",29,1.78,81,"F",1983-02-07,"",0,0,0,0,"Handball","Women's Handball"
"225","Emiliano Albin","Uruguay",23,1.76,76,"M",NA,"",0,0,0,0,"Football","Men's Football"
"226","Nicoleta Albu","Romania",23,1.83,76,"F",1988-10-08,"",0,0,0,0,"Rowing","Women's Eight"
"227","Dailenys Alcantara","Cuba",20,NA,NA,"F",1991-10-08,"Santiago de Cuba (CUB)",0,0,0,0,"Athletics","Women's Triple Jump"
"228","Arnold Alcolea","Cuba",29,NA,NA,"M",NA,"Santiago de Cuba (CUB)",0,0,0,0,"Cycling - Road","Men's Road Race"
"229","Kyle Alcorn","United States of America",27,1.85,74,"M",NA,"Fresno (USA)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"230","Yamile Aldama","Great Britain",39,1.72,62,"F",NA,"Havana (CUB)",0,0,0,0,"Athletics","Women's Triple Jump"
"231","Andrea Aldana Bennett","Guatemala",23,1.72,68,"F",NA,"GUATEMALA CITY (GUA)",0,0,0,0,"Sailing","Women's Laser Radial"
"232","Ibragim Aldatov","Ukraine",28,1.78,87,"M",1983-04-11,"BESLAN (RUS)",0,0,0,0,"Wrestling","Men's 84kg Freestyle"
"233","Fehaid Aldeehani","Kuwait",45,1.8,100,"M",1966-11-10,"KUWAIT (KUW)",0,0,0,0,"Shooting","Men's Trap, Men's Double Trap"
"234","Humaid Alderei","United Arab Emirates",21,NA,65,"M",NA,"MEKNAS",0,0,0,0,"Judo","Men's -66kg"
"235","David Alegre","Spain",27,1.84,75,"M",1984-06-09,"",0,0,0,0,"Hockey","Men's Hockey"
"236","Ramon Alegre","Spain",31,1.71,71,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"237","Jannet Alegria Pena","Mexico",24,1.54,NA,"F",NA,"SAN JUAN DEL RIO (MEX)",0,0,0,0,"Taekwondo","Women's -49kg"
"238","Jo Aleh","New Zealand",26,1.71,60,"F",NA,"Auckland (NZL)",0,0,0,0,"Sailing","Women's 470"
"239","Eric Alejandro","Puerto Rico",26,NA,83,"M",NA,"New Jersey (USA)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"240","Virgilijus Alekna","Lithuania",40,1.99,135,"M",NA,"KUPISKIS (LTU)",0,0,0,0,"Athletics","Men's Discus Throw"
"241","Aleksandar Aleksandrov","Bulgaria",27,1.64,NA,"M",NA,"Sofia (BUL)",0,0,0,0,"Boxing","Men's Light Fly (49kg)"
"242","Aleksandar Aleksandrov","Azerbaijan",22,1.89,94,"M",1990-09-04,"",0,0,0,0,"Rowing","Men's Single Sculls"
"243","Dmitrii Aleksandrov","Kyrgyzstan",19,1.85,75,"M",1992-12-09,"Bishkek (KGZ)",0,0,0,0,"Swimming","Men's 200m Breaststroke"
"244","Artur Aleksanyan","Armenia",20,1.85,96,"M",NA,"Gyumri (ARM)",0,0,0,0,"Wrestling","Men's 96kg Greco-Roman"
"245","Sandra Aleksejeva","Latvia",21,1.64,62,"F",1991-03-05,"Kraslava (LAT)",0,0,0,0,"Cycling - BMX","Women's BMX"
"246","Denis Alekseyev","Russian Federation",24,1.86,75,"M",NA,"Leningrad (RUS)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"247","Aleksandar Aleksic","Serbia",20,1.88,89,"M",NA,"",0,0,0,0,"Canoe Sprint","Men's Kayak Four (K4) 1000m"
"248","Milan Aleksic","Serbia",26,1.97,100,"M",NA,"Beograd (SRB)",0,0,0,0,"Water Polo","Men's Water Polo"
"249","Todor Aleksiev","Bulgaria",29,2,96,"M",NA,"Plovdiv (BUL)",0,0,0,0,"Volleyball","Men's Volleyball"
"250","Ilya Aleksievich","Belarus",21,1.73,66,"M",1991-10-02,"",0,0,0,0,"Football","Men's Football"
"251","Octavio Alesi Gonzalez","Venezuela",25,1.75,75,"M",1986-10-11,"Barinas (VEN)",0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay"
"252","Ayanna Alexander","Trinidad and Tobago",30,1.71,60,"F",NA,"Port of Spain (TRI)",0,0,0,0,"Athletics","Women's Triple Jump"
"253","J'maal Alexander","Virgin Islands, British",18,NA,NA,"M",NA,"Tortola (IVB)",0,0,0,0,"Athletics","Men's 100m"
"254","Kineke Alexander","St Vincent and the Grenadines",26,1.78,65,"F",NA,"KIngstown (VIN)",0,0,0,0,"Athletics","Women's 400m"
"255","Dmitriy Alexanin","Kazakhstan",20,1.84,82,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Epee"
"256","Yevgeniy Alexeyev","Kazakhstan",34,1.85,85,"M",1977-11-12,"Shymkent (KAZ)",0,0,0,0,"Canoe Sprint","Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m"
"257","Alin Alexuc-Ciurariu","Romania",22,1.91,96,"M",1990-03-02,"Botosani (ROU)",0,0,0,0,"Wrestling","Men's 96kg Greco-Roman"
"258","Rafael Alfaro","El Salvador",20,1.85,80,"M",1992-04-02,"San Salvador (ESA)",0,0,0,0,"Swimming","Men's 400m Individual Medley"
"259","Sara Alflaij","Bahrain",17,1.7,72,"F",1995-03-08,"USA (USA)",0,0,0,0,"Swimming","Women's 50m Freestyle"
"260","Linda Algotsson","Sweden",40,1.58,53,"F",NA,"KRISTVALLA (SWE)",0,0,0,0,"Equestrian","Individual Eventing, Team Eventing, LA FAIR"
"261","Sara Algotsson Ostholt","Sweden",37,1.62,55,"F",1974-08-12,"KRISTVALLA (SWE)",0,1,0,1,"Equestrian","Individual Eventing, Team Eventing, WEGA"
"262","Hussain Jamaan Alhamdah","Saudi Arabia",29,NA,NA,"M",1983-04-04,"NAJRAN (KSA)",0,0,0,0,"Athletics","Men's 5000m"
"263","Ibrahem Alhasan","Kuwait",25,1.74,85,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Table Tennis","Men's Singles"
"264","Annabel Laure Ali","Cameroon",27,1.76,72,"F",1985-04-03,"GAROUA (CMR)",0,0,0,0,"Wrestling","Women's 72kg Freestyle"
"265","Belal Mansoor Ali","Bahrain",23,1.67,61,"M",NA,"KENYA (KEN)",0,0,0,0,"Athletics","Men's 800m, Men's 1500m"
"266","Kame Ali","Madagascar",27,1.9,83,"M",NA,"Namakia (MAD)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"267","Lahoussine Ali","Morocco",37,1.76,68,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Foil"
"268","Liaqat Ali","Pakistan",28,NA,NA,"M",1983-06-08,"OKARA (PAK)",0,0,0,0,"Athletics","Men's 100m"
"269","Zourah Ali","Djibouti",17,NA,NA,"F",NA,"ALI SABIEH (DJI)",0,0,0,0,"Athletics","Women's 400m"
"270","Khalid Alibaba","Bahrain",15,1.65,60,"M",1996-06-09,"Manama (BRN)",0,0,0,0,"Swimming","Men's 100m Butterfly"
"271","Mirko Alilovic","Croatia",26,2,110,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"272","Elmir Alimzhanov","Kazakhstan",25,1.85,72,"M",1986-05-10,"",0,0,0,0,"Fencing","Men's Individual Epee"
"273","Alexey Alipov","Russian Federation",36,1.75,85,"M",1975-07-08,"Moscow (RUS)",0,0,0,0,"Shooting","Men's Trap"
"274","Ashraf Aliyev","Azerbaijan",26,1.75,74,"M",NA,"ABSHERON (AZE)",0,0,0,0,"Wrestling","Men's 74kg Freestyle"
"275","Hasan Aliyev","Azerbaijan",22,1.7,60,"M",NA,"GAZAKH (AZE)",0,0,0,0,"Wrestling","Men's 60kg Greco-Roman"
"276","Triin Aljand","Estonia",27,1.79,68,"F",1985-08-07,"Tallinn (EST)",0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Butterfly"
"277","Abdullah Abdulaziz Aljoud","Saudi Arabia",37,NA,NA,"M",1975-10-07,"ALQATIF (KSA)",0,0,0,0,"Athletics","Men's 5000m"
"278","Jasmine Alkhaldi","Philippines",29,1.65,55,"F",NA,"PARANAQUE  MM (PHI)",0,0,0,0,"Swimming","Women's 100m Freestyle"
"279","Agnese Allegrini","Italy",30,1.62,57,"F",1982-03-07,"Roma",0,0,0,0,"Badminton","Women's Singles"
"280","Dominique Allen","Great Britain",22,1.88,86,"F",1989-10-09,"",0,0,0,0,"Basketball","Women's Basketball"
"281","Elena Allen","Great Britain",40,1.69,67,"F",1972-12-07,"Moscow (RUS)",0,0,0,0,"Shooting","Women's Skeet"
"282","Joe Allen","Great Britain",22,1.7,65,"M",NA,"",0,0,0,0,"Football","Men's Football"
"283","Sophie Allen","Great Britain",20,1.7,65,"F",NA,"Lincoln (GBR)",0,0,0,0,"Swimming","Women's 200m Individual Medley"
"284","Ade Alleyne-Forte","Trinidad and Tobago",23,1.8,73,"M",1988-11-10,"San Fernando (TRI)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"285","Andrique Allisop","Seychelles",19,1.71,NA,"M",1993-02-06,"Victoria (SEY)",0,0,0,0,"Boxing","Men's Light (60kg)"
"286","Bradley Ally","Barbados",25,1.83,73,"M",1986-12-11,"Bridgetown (BAR)",0,0,0,0,"Swimming","Men's 100m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley"
"287","Miguel Angel Almachi","Ecuador",27,1.69,55,"M",1985-02-05,"QUITO (ECU)",0,0,0,0,"Athletics","Men's Marathon"
"288","Nicolas Almagro","Spain",26,1.83,84,"M",NA,"",0,0,0,0,"Tennis","Men's Singles"
"289","Juma Almaktoum","United Arab Emirates",27,NA,NA,"M",NA,"DUBAI (UAE)",0,0,0,0,"Shooting","Men's Double Trap"
"290","Saeed Almaktoum","United Arab Emirates",35,NA,NA,"M",1976-01-10,"DUBAI (UAE)",0,0,0,0,"Shooting","Men's Skeet"
"291","Rose Mary Almanza","Cuba",20,NA,NA,"F",NA,"Camaguey (CUB)",0,0,0,0,"Athletics","Women's 800m, Women's 4 x 400m Relay"
"292","Ihab Almatbouli","Jordan",26,NA,NA,"M",1985-06-11,"AL BAQAH (JOR)",0,0,0,0,"Boxing","Men's Light Heavy (81kg)"
"293","Abdelaziz Sanqour Almazam","United Arab Emirates",23,1.82,63,"M",1989-07-05,"",0,0,0,0,"Football","Men's Football"
"294","Carlos Almeida","Portugal",23,1.82,87,"M",1988-04-08,"Lisboa (POR)",0,0,0,0,"Swimming","Men's 100m Breaststroke"
"295","Joao Carlos Almeida","Portugal",24,1.85,88,"M",1988-05-04,"Lisboa (POR)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"296","Kaio Almeida","Brazil",27,1.74,74,"M",NA,"Joao Pessoa (BRA)",0,0,0,0,"Swimming","Men's 100m Butterfly, Men's 200m Butterfly, Men's 4x100m Medley Relay"
"297","Nair Almeida","Angola",28,1.8,64,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"298","Manuel Almeida Campos","Portugal",31,1.63,NA,"M",1981-12-07,"PORTO (POR)",0,0,0,0,"Gymnastics - Artistic","Men's Qualification"
"299","Johanna Almgren","Sweden",28,1.69,62,"F",NA,"",0,0,0,0,"Football","Women's Football"
"300","Ghfran Almouhamad","Syrian Arab Republic",23,1.76,72,"F",1989-06-06,"Aleppo (SYR)",0,0,0,0,"Athletics","Women's 400m Hurdles"
"301","Misha Aloian","Russian Federation",23,1.64,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Fly (52kg)"
"302","Jessica Alonso Bernardo","Spain",28,1.72,65,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"303","Jonathan Alonso Flete","Spain",21,1.75,NA,"M",1990-06-09,"JAMAO AL NORTE MOCA (DOM)",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"304","Kamel Alouini","Tunisia",24,1.87,86,"M",1988-06-07,"",0,0,0,0,"Handball","Men's Handball"
"305","Anthony Alozie","Australia",25,1.71,79,"M",NA,"Aba (NGR)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"306","Abbas Alqaisoum","Saudi Arabia",31,NA,94,"M",NA,"ALQATIF",0,0,0,0,"Weightlifting","Men's 94kg"
"307","Azza Alqasmi","Bahrain",27,NA,NA,"F",1985-12-02,"RIFFA (BRN)",0,0,0,0,"Shooting","Women's 50m Rifle 3 Positions"
"308","Abdullah Alrashidi","Kuwait",48,1.8,95,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Shooting","Men's Skeet"
"309","Talal Alrashidi","Kuwait",19,1.76,70,"M",NA,"KUWAIT (KUW)",0,0,0,0,"Shooting","Men's Trap"
"310","Therese Alshammar","Sweden",34,1.8,65,"F",NA,"RASUNDA (SWE)",0,0,0,0,"Swimming","Women's 50m Freestyle, Women's 100m Freestyle"
"311","Julio Alsogaray","Argentina",32,1.81,84,"M",1980-11-04,"SAN PEDRO",0,0,0,0,"Sailing","Men's Laser"
"312","Ida Alstad","Norway",27,1.7,NA,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"313","Maria Suelen Altheman","Brazil",23,1.75,78,"F",1988-12-08,"Sao Paulo",0,0,0,0,"Judo","Women's +78kg"
"314","Eniola Aluko","Great Britain",25,1.57,56,"F",NA,"",0,0,0,0,"Football","Women's Football"
"315","Ever Alvarado","Honduras",20,1.7,70,"M",NA,"",0,0,0,0,"Football","Men's Football"
"316","Luis Alvarez","Mexico",21,1.74,90,"M",NA,"MEXICALI",0,0,0,0,"Archery","Men's Individual, Men's Team"
"317","Sergio Alvarez Boulet","Cuba",32,NA,56,"M",1979-11-10,"Matanzas",0,0,0,0,"Weightlifting","Men's 56kg"
"318","Lazaro Alvarez Estrada","Cuba",21,NA,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Bantam (56kg)"
"319","Yuri Alvear","Colombia",26,1.74,70,"F",NA,"JAMUNDI VALLE (COL)",0,0,1,1,"Judo","Women's -70kg"
"320","Francisco Javier Alves","Spain",31,1.82,66,"M",1980-02-09,"CACERES (ESP)",0,0,0,0,"Athletics","Men's 5000m"
"321","Thiago Soares Alves","Brazil",26,1.94,88,"M",NA,"",0,0,0,0,"Volleyball","Men's Volleyball"
"322","Anna Alyabyeva","Kazakhstan",18,1.74,NA,"F",NA,"Astana (KAZ)",0,0,0,0,"Gymnastics - Rhythmic","Individual All-Around"
"323","Saad Surour Alyassi","United Arab Emirates",22,1.73,64,"M",NA,"",0,0,0,0,"Football","Men's Football"
"324","Darisleydis Amador","Cuba",24,NA,NA,"F",1988-01-01,"",0,0,0,0,"Canoe Sprint","Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
"325","Andrey Amador Bakkazakova","Costa Rica",25,1.81,72,"M",NA,"SAN RAMON (CRC)",0,0,0,0,"Cycling - Road","Men's Road Race"
"326","Mohammed Aman","Ethiopia",18,1.75,58,"M",1994-10-01,"Assela (ETH)",0,0,0,0,"Athletics","Men's 800m"
"327","Ranohon Amanova","Uzbekistan",18,1.74,61,"F",1994-08-03,"ANDIJAN (UZB)",0,0,0,0,"Swimming","Women's 200m Individual Medley"
"328","Dante Amaral","Brazil",31,2.01,86,"M",NA,"",0,0,0,0,"Volleyball","Men's Volleyball"
"329","Yadinys Amaris","Colombia",28,1.62,57,"F",1984-01-04,"AGUACHICA CESAR (COL)",0,0,0,0,"Judo","Women's -57kg"
"330","Pol Amat","Spain",34,1.83,78,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"331","Doreen Amata","Nigeria",24,1.98,54,"F",1988-06-05,"Lagos (NGR)",0,0,0,0,"Athletics","Women's High Jump"
"332","Kim Amb","Sweden",22,1.77,86,"M",NA,"Solna (SWE)",0,0,0,0,"Athletics","Men's Javelin Throw"
"333","Eloise Amberger","Australia",25,1.65,NA,"F",NA,"Brisbane (AUS)",0,0,0,0,"Synchronised Swimming","Women's Duets, Women's Teams"
"334","Serge Ambomo","Cameroon",26,NA,NA,"M",1986-02-07,"NGOKSA (CMR)",0,0,0,0,"Boxing","Men's Light Welter (64kg)"
"335","Harald Ambros","Austria",32,1.77,75,"M",NA,"Linz (AUT)",0,0,0,0,"Equestrian","Individual Eventing, O-FELTIZ"
"336","Nourhan Amer","Egypt",19,1.6,55,"F",1993-10-05,"MONOFIYA (EGY)",0,0,0,0,"Shooting","Women's 10m Air Rifle"
"337","Christine Amertil","Bahamas",32,1.68,54,"F",NA,"Nassau (BAH)",0,0,0,0,"Athletics","Women's 4 x 100m Relay"
"338","Alena Amialiusik","Belarus",23,1.69,53,"F",1989-06-02,"BOBRUISK (BLR)",0,0,0,0,"Cycling - Road","Women's Road Race"
"339","Al-Farouq Aminu","Nigeria",21,2.08,NA,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"340","Alade Aminu","Nigeria",24,2.1,NA,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"341","Eduarda Amorim","Brazil",25,1.86,84,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"342","Vanessa Amoros Quiles","Spain",29,1.67,62,"F",1982-07-12,"",0,0,0,0,"Handball","Women's Handball"
"343","Nijel Amos","Botswana",18,1.79,60,"M",NA,"MAROBELA (BOT)",0,0,0,0,"Athletics","Men's 800m"
"344","Alberta Boatema Ampomah","Ghana",17,NA,80,"F",1994-03-11,"Accra (GHA)",0,0,0,0,"Weightlifting","Women's +75kg"
"345","Noureddine Amrabat","Morocco",25,1.78,81,"M",NA,"",0,0,0,0,"Football","Men's Football"
"346","Marwa Amri","Tunisia",23,1.61,55,"F",1989-08-01,"Tunis (TUN)",0,0,0,0,"Wrestling","Women's 55kg Freestyle"
"347","Mohamed Amsif","Morocco",23,1.87,90,"M",1989-07-02,"",0,0,0,0,"Football","Men's Football"
"348","Kum Ae An","Democratic People's Republic  of Korea",32,1.6,52,"F",1980-03-06,"Pyongyang (PRK)",1,0,0,1,"Judo","Women's -52kg"
"349","Phara Anacharsis","France",28,1.77,66,"F",NA,"FORT DE FRANCE (FRA)",0,0,0,0,"Athletics","Women's 4 x 400m Relay"
"350","Tumua Anae","United States of America",23,1.8,70,"F",NA,"",0,0,0,0,"Water Polo","Women's Water Polo"
"351","Takamasa Anai","Japan",27,1.87,100,"M",1984-05-08,"OITA (JPN)",0,0,0,0,"Judo","Men's -100kg"
"352","Anis Ananenka","Belarus",26,1.76,65,"M",NA,"ZHLOBIN (BLR)",0,0,0,0,"Athletics","Men's 800m"
"353","Anton Anchin","Russian Federation",22,1.87,68,"M",NA,"BASHKIRIA (RUS)",0,0,0,0,"Swimming","Men's 200m Backstroke"
"354","David Andersen","Australia",32,2.12,102,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"355","Stine Andersen","Denmark",27,1.69,75,"F",NA,"NYKOBING SJAELLAND (DEN)",0,0,0,0,"Shooting","Women's 10m Air Rifle"
"356","Alyssa Anderson","United States of America",21,1.73,64,"F",NA,"Granite Bay (USA)",1,0,0,1,"Swimming","Women's 4x200m Freestyle Relay"
"357","Haley Anderson","United States of America",20,1.78,68,"F",NA,"Santa Clara (USA)",0,0,0,0,"Swimming","Women's 10km Marathon"
"358","Jenny-Lyn Anderson","Australia",19,1.62,NA,"F",NA,"Johannesburg (RSA)",0,0,0,0,"Synchronised Swimming","Women's Teams"
"359","Matthew Anderson","United States of America",25,2.08,93,"M",NA,"Buffalo (USA)",0,0,0,0,"Volleyball","Men's Volleyball"
"360","Rose Anderson","Great Britain",24,1.75,70,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"361","Kim Andersson","Sweden",29,2.01,110,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"362","Mattias Andersson","Sweden",34,1.85,90,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"363","Isabellah Andersson","Sweden",31,1.7,55,"F",1980-12-11,"Kisii (KEN)",0,0,0,0,"Athletics","Women's Marathon"
"364","Elizabeth Andiego","Kenya",25,1.72,NA,"F",NA,"Nairobi (KEN)",0,0,0,0,"Boxing","Women's Middle (75kg)"
"365","Kozue Ando","Japan",30,1.64,57,"F",1982-09-07,"",0,0,0,0,"Football","Women's Football"
"366","Shunsuke Ando","Japan",21,1.85,79,"M",1990-10-08,"",0,0,0,0,"Football","Men's Football"
"367","Danail Andonov Petrov","Bulgaria",34,1.71,63,"M",1978-05-02,"KAZANLAK (BUL)",0,0,0,0,"Cycling - Road","Men's Road Race"
"368","Francisco Andrade","Portugal",32,1.72,77,"M",1980-06-07,"BRAZIL (BRA)",0,0,0,0,"Sailing","Men's 49er"
"369","Lady Andrade","Colombia",20,1.72,62,"F",1992-10-01,"",0,0,0,0,"Football","Women's Football"
"370","Marcia Yuleisi Andrades Mendoza","Venezuela",28,1.65,55,"F",NA,"Cumana (VEN)",0,0,0,0,"Wrestling","Women's 55kg Freestyle"
"371","Bjorn Andrae","Germany",31,2,97,"M",NA,"Berlin (GER)",0,0,0,0,"Volleyball","Men's Volleyball"
"372","Nilson Andre","Brazil",26,1.72,70,"M",NA,"Rio De Janeiro (BRA)",0,0,0,0,"Athletics","Men's 100m, Men's 4 x 100m Relay"
"373","Grigoriy Andreev","Russian Federation",36,1.8,70,"M",1976-07-01,"Bashkortostan (RUS)",0,0,0,0,"Athletics","Men's Marathon"
"374","Ekaterina Andreeva","Russian Federation",19,1.74,64,"F",1993-03-08,"VLADIMIR (RUS)",0,0,0,0,"Swimming","Women's 200m Individual Medley"
"375","Iuliia Andreeva","Kyrgyzstan",28,1.68,58,"F",1984-07-03,"Bishkek (KGZ)",0,0,0,0,"Athletics","Women's Marathon"
"376","Viktoriia Andreeva","Russian Federation",20,1.89,76,"F",NA,"Sankt",0,0,0,0,"Swimming","Women's 4x100m Freestyle Relay"
"377","Antonakis Andreou","Cyprus",37,1.73,68,"M",NA,"DEKELEIA (CYP)",0,0,0,0,"Shooting","Men's Skeet"
"378","Panagiota Andreou","Cyprus",16,1.62,55,"F",1995-10-11,"Paralimni (CYP)",0,0,0,0,"Shooting","Women's Skeet"
"379","Jake Andrewartha","Australia",22,1.96,120,"M",NA,"CLARE (AUS)",0,0,0,0,"Judo","Men's +100kg"
"380","Valerii Andriitsev","Ukraine",25,1.89,102,"M",NA,"Kyiv (UKR)",0,0,0,0,"Wrestling","Men's 96kg Freestyle"
"381","Matthieu Androdias","France",22,1.94,95,"M",1990-11-06,"",0,0,0,0,"Rowing","Men's Quadruple Sculls"
"382","Alona Andruk","Ukraine",25,1.7,56,"F",1987-11-06,"Kiev (UKR)",0,0,0,0,"Cycling - Road","Women's Road Race"
"383","Georgeta Andrunache","Romania",36,1.78,75,"F",NA,"",0,0,0,0,"Rowing","Women's Pair"
"384","Tamir Andryei","Mongolia",26,1.81,80,"M",NA,"Orkhon Province (MGL)",0,0,0,0,"Swimming","Men's 100m Freestyle"
"385","Juan Diego Angeloni","Argentina",34,1.68,60,"M",NA,"ROSARIO DEL TALA (ARG)",0,0,0,0,"Shooting","Men's 50m Rifle Prone"
"386","Ivo Serafimov Angelov","Bulgaria",27,1.64,60,"M",NA,"PERNIK (BUL)",0,0,0,0,"Wrestling","Men's 60kg Greco-Roman"
"387","Tonje Angelsen","Norway",22,NA,NA,"F",NA,"Trondheim (NOR)",0,0,0,0,"Athletics","Women's High Jump"
"388","Giuseppe Angilella","Italy",27,1.77,77,"M",NA,"Palermo (ITA)",0,0,0,0,"Sailing","Men's 49er"
